Name,address,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,tele,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,ulc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Hardeeville Healthcare ,16 Main Street ,Hardeeville,SC,29927,,Jasper,843-784-3232,,,,https://hardeevillehealthcare.business.site/,32.2864334,-81.0803623,SA,1,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,1,1,,1,1,,1,,,1,,,,,,1,,,,,1,1,1,,,1,,,1,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Behavioral Care ,424 Guyton Court ,Mullins,SC,29574,,Marion,843-423-8292,,,843-423-8294,http://www.trinitybehavioralcare.org/,34.1787604,-79.3409955,SA,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,1,,1,,1,1,,1,,,,,1,,1,1,1,1,1,1,1,1,,1,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,1,,,1,1,1,,1,1,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,,,,,1,1,,,1,1,,1,,,,,,,1,,,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Behavioral Care ,204 Martin Luther King Jr Boulevard ,Dillon,SC,29536,,Dillon,843-774-6591,,,843-774-9587,http://www.trinitybehavioralcare.org/,34.4196208,-79.3734761,SA,1,,,,,1,1,,,1,1,1,,,,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,1,,1,,1,1,,1,,,,,1,,1,1,1,1,1,1,1,1,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,1,,1,1,,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,,,,,,,,1,1,,,1,1,,1,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Alcohol and Drug Abuse Department,"Beaufort County Govt Center Bluffton 4819 Bluffton Parkway, Suite 303",Bluffton,SC,29910,,Beaufort,843-255-6020,,,,http://www.bcgov.net,32.2497945,-80.8533037,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,1,1,,,,,,1,,1,,,,,,,,1,,,,,,,1,,1,1,1,,1,1,,1,,,,1,,,,,1,1,,,1,,1,,,,1,,,1,1,1,,,,,1,,,1,,,,1,1,,,,1,1,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown County Alcohol and Drug Abuse Commission,1423 Winyah Street ,Georgetown,SC,29440,,Georgetown,843-546-6081,Intakes,843-546-6081 x19,843-546-6081 x10,http://gcadac.net,33.3703275,-79.2924809,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,1,1,,1,,1,,1,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,1,1,,1,1,1,1,,,,1,1,,,,1,1,1,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral Health Services of Pickens County,309 East Main Street ,Pickens,SC,29671,,Pickens,864-898-5800,,,,http://www.bhspickens.com,34.8843046,-82.7064279,SA,1,,,,,,1,,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,1,,1,1,1,1,,1,,,,,1,,1,,1,1,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,1,,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BriteLife Recovery ,2200 Main Street ,Hilton Head Island,SC,29926,,Beaufort,843-869-8040,,888-224-7424,,http://briteliferecovery.com,32.215034,-80.725228,SA,1,1,,,,1,1,1,1,1,1,1,,,,1,,,,,,1,1,1,1,1,1,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson/Oconee Behavioral Health Services,691 South Oak Street ,Seneca,SC,29678,,Oconee,864-882-7563,,,,http://www.aobhs.org,34.67524142,-82.95518147,SA,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,1,1,,1,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,,1,,,,,1,1,,,1,,1,,,1,1,,,1,1,1,,1,,,1,,1,1,,,,1,1,,,1,1,1,1,,,,1,1,,,,1,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Treatment Centers of Seneca ,209 Oconee Square Drive ,Seneca,SC,29678,,Oconee,864-888-2337,,,800-805-6989,http://www.crossroadstreatmentcenters.com,34.69089845,-82.98110962,SA,1,,1,1,,1,1,,,1,,1,1,,,,,,,1,1,1,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,1,1,1,1,1,1,,,1,,,,1,,,,1,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,1,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline Behavioral Health Services Womens Recovery Center,901 Bell Street ,Conway,SC,29526,,Horry,843-488-1300,,,843-365-8884,http://www.shorelinebhs.com,33.8385211,-79.0593561,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,,,,1,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,1,1,1,1,1,,,1,1,,,1,,,1,1,1,,,,,,,,,1,1,,,,1,1,,1,1,,1,1,1,1,,1,,,1,1,1,1,1,1,1,,,1,,1,,1,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline Behavioral Health Services ,2404 Wise Road ,Conway,SC,29526,,Horry,843-365-8884 x240,,843-365-8884 x210,,http://www.shorelinebhs.org,33.8991934,-79.0468763,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,1,,1,,1,1,,1,1,1,1,,,,,,,1,,1,1,1,1,,1,,1,1,,,1,,1,,,1,1,,,1,,1,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,,,1,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Behavioral Health Hospital ,152 Waccamaw Medical Park Drive ,Conway,SC,29526,,Horry,843-347-8871,,,,http://www.lighthousebehavioral.com,33.7877719,-78.998025,SA,1,1,,,,,1,,,1,1,1,,,,1,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,1,1,,,1,,,,,,,1,1,,,1,,,,,,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,,1,,1,,,1,1,,,,,,1,,1,1,,1,1,1,1,,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,1,,1,1,,1,,1,1,1,1,,1,,,1,,,,,,1,,1,,1,1,,,,1,,,1,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
South Strand Internists ,1945 Glenns Bay Road ,Myrtle Beach,SC,29575,,Horry,843-650-4006,,,,http://southstrandinternists.com,33.6183374,-78.9931995,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,1,,,,,,1,,,,,1,1,,,,,1,1,,1,,,,1,1,1,1,,,1,,,1,,,,1,,1,1,1,,1,1,1,1,,,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,,,1,,,,1,,,,1,1,,,1,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of HOPE of Myrtle Beach LLC ,104 George Bishop Parkway ,Myrtle Beach,SC,29579,,Horry,843-903-6212,,843-903-6212 x221,,http://www.crossroadstreatmentcenters.com,33.7195497,-78.9316087,SA,1,,1,1,,1,1,,,1,,,1,,,,,1,,1,1,1,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,1,1,,,,,1,1,1,1,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,,1,,,,,,,,,,,1,,1,1,,,,1,1,,,,,,,,,1,1,1,1,,,1,,,,1,1,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Recovery Center ,1113 44th Avenue North Suite 100,Myrtle Beach,SC,29577,,Horry,843-449-6261,,,,http://www.coastalrecoverycenter.com,33.7280648,-78.863787,SA,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,1,,,,1,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,1,1,,1,1,1,1,,,,,,,,1,,1,,,1,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
