name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
"SANDILAND, LINLEE A.",32.813161,-79.870451,857 Sandlake Rd,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,631257353,L,45,019,004622,1022
SANDPIPER COURTYARD ASSISTED LIVING,32.809731,-79.863605,1042 Anna Knapp Blvd,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,108887939,R,45,019,004622,1021
SANDPIPER REHAB & NURSING,32.810349,-79.864774,1031 Johnnie Dodds Blvd,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,639946168,R,45,019,004607,3006
SANTEE ADULT DAYCARE,33.475688,-80.486393,1586 Bass Dr,Santee,SC,,29142,Orangeburg,Match,Exact,615398568,L,45,075,010304,1023
SANTEE DIALYSIS,33.483783,-80.47744,228 Bradford Blv,Santee,SC,,29142,Orangeburg,Match,Exact,19245187,R,45,075,010305,1046
SANTEE IN HOME CARE,33.475808,-80.486308,1580 Bass Dr,Santee,SC,,29142,Orangeburg,Match,Exact,615398568,L,45,075,010304,1023
SAVANNAH GRACE AT THE PALMS OF MT PLEASANT,32.814205,-79.861905,1010 Lake Hunter Cir,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,617156867,L,45,019,004622,1017
SAVANNAH HALL ASSISTED LIVING,32.813966,-79.861842,1034 Lake Hunter Cir,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,617156867,L,45,019,004622,1017
SAVANNAH PLACE,32.71084,-79.957424,1501 Secessionville Rd,Charleston,SC,,29412,City of Charleston,Match,Exact,645439109,L,45,019,002005,3033
SAVANNAH SENIORS,34.150278,-79.821308,2620 Alligator Rd,Effingham,SC,,29541,Florence,Match,Exact,641995618,R,45,041,001504,2030
SC EPISCOPAL HOME AT STILL HOPES (CRCF),33.985706,-81.062064,1 Still Hopes Dr,West Columbia,SC,,29169,Lexington,Match,Exact,70078655,L,45,063,020300,2023
SC EPISCOPAL HOME AT STILL HOPES ADULT DAY CARE,33.985132,-81.06146,6509 Exum Dr,West Columbia,SC,,29169,Lexington,Match,Exact,70083968,L,45,063,020300,2023
SC FAMILY LUV&CARE IN-HOME CARE AGENCY,34.159248,-80.879714,29 Summit Ridge Cir,Columbia,SC,,29229,TIGER/Line® dataset from the US Census Bureau,Match,Exact,604750771,R,45,079,011424,2000
SC HOMECARE SOLUTIONS,34.514799,-82.653334,1214 N Main St,Anderson,SC,,29621,Anderson,No_Match,,,,,,,
"SCHENDEL, JAMES D.",33.611504,-78.981591,835 Surfside Dr,Surfside Beach,SC,,29575,Horry,Match,Exact,607102023,L,45,051,051202,3000
"SCHOPEN, JOSEPH, JR.",35.172012,-80.729294,8400 Strider Dr,Charlotte,NC,,28212,Mecklenburg,Match,Exact,70576507,R,37,119,001921,1003
"SCOTT, RYAN J.",34.766378,-82.309868,4 Whitts Forge Ln,Mauldin,SC,,29662,Greenville,Match,Exact,38328101,L,45,045,002905,1032
SDM HOME CARE AGENCY,33.869687,-78.647816,4047 Fairway Dr,Little River,SC,,29566,Horry,Match,Exact,630436420,R,45,051,040103,2031
SEA ISLAND ADULT DAY CENTER,32.718292,-80.082216,3627 Maybank Hwy,Johns Island,SC,,29455,City of Charleston,Match,Exact,108899426,R,45,019,002107,2059
SEA ISLAND COMPREHENSIVE HEALTHCARE,32.720502,-80.083048,1786 Main Rd,Johns Island,SC,,29455,City of Charleston,Match,Exact,108900085,R,45,019,002107,4046
SEABROOK WELLNESS AND HOME HEALTH CARE,32.149879,-80.764284,300 Woodhaven Dr,Hilton Head Island,SC,,29928,Hilton Head Island,No_Match,,,,,,,
SEASONS CONCIERGE CARE MOUNT PLEASANT SC,32.863171,-79.799632,2780 Seastrand Ln,Mount Pleasant,SC,,29466,TIGER/Line® dataset from the US Census Bureau,Match,Exact,108888262,L,45,019,004618,1003
SECESSIONVILLE COMMUNITY RESIDENCE,32.722072,-79.95663,1217 Secessionville Rd,Charleston,SC,,29412,City of Charleston,Match,Exact,617587615,R,45,019,002002,2028
SECOND CHANCE,34.856693,-82.35324,25 Woods Lake Rd,Greenville,SC,,29607,Greenville,Match,Exact,38357968,L,45,045,004400,2001
SEDGEWOOD MANOR ASSISTED LIVING,33.961453,-80.844668,1629 Ridge Rd,Hopkins,SC,,29061,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71846974,R,45,079,011902,3015
SEDGEWOOD MANOR HEALTH CARE CENTER,33.961453,-80.844668,1629 Ridge Rd,Hopkins,SC,,29061,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71846974,R,45,079,011902,3015
"SELBY, MARK A.",34.966591,-82.425205,6 View Dr,Travelers Rest,SC,,29690,Greenville,Match,Exact,38297179,R,45,045,003902,1037
SELECT ONE HEALTHCARE SOLUTIONS LLC,34.498189,-82.616366,550 Crowther Dr,Anderson,SC,,29621,Anderson,Match,Exact,25454771,R,45,007,012300,2024
SELF REGIONAL HEALTHCARE,34.175238,-82.156707,1325 Spring St,Greenwood,SC,,29646,Greenwood,Match,Exact,50813547,R,45,047,970401,3058
SENECA DIALYSIS CENTER,34.67563,-82.954819,685 S Oak St,Seneca,SC,,29678,Oconee,Match,Non_Exact,25645072,R,45,073,030801,2001
SENECA HEALTH AND REHABILITATION CENTER,34.654036,-82.962483,139 Tokeena Rd,Seneca,SC,,29678,Oconee,Match,Exact,647245437,R,45,073,030801,1005
SENECA RESIDENTIAL CARE CENTER,34.656413,-82.963054,126 Tokeena Rd,Seneca,SC,,29678,Oconee,Match,Exact,25676198,L,45,073,030802,3065
SENIOR CARE CONSULTANTS OF SOUTH CAROLINA LLC,35.00376,-81.94925,100 Woodcreek Dr,Spartanburg,SC,,29303,Spartanburg County G,Match,Exact,19504653,L,45,083,021402,3023
SENIOR CARE OF MARION,34.105866,-79.330465,NA US 501,Marion,SC,,29571,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SENIOR CITIZENS ASSOCIATION IN FLORENCE COUNTY IN-HOME CARE PROVIDER,34.164899,-79.75516,600 Senior Way,Florence,SC,,29505,Florence,No_Match,,,,,,,
SENIOR HELPERS,34.947044,-81.038737,1300 Ebenezer Rd,Rock Hill,SC,,29732,York,Match,Exact,19791015,R,45,091,060700,1018
SENIOR HELPERS - CHARLESTON,32.800173,-79.764476,141 Sparrow Dr,Isle Of Palms,SC,,29451,Charleston,Match,Exact,108894006,R,45,019,004902,3000
SENIOR HELPERS HILTON HEAD SC,32.352473,-80.892475,339 Old Baileys Rd,Okatie,SC,,29909,Beaufort,Match,Exact,653316362,L,45,013,002202,1067
SENIOR HELPERS OF GREENVILLE,34.737206,-82.255862,103 W Curtis St,Simpsonville,SC,,29681,Greenville,Tie,,,,,,,
SENIOR HELPERS OF PAWLEYS ISLAND,33.441091,-79.125073,10698 Ocean Hwy,Pawleys Island,SC,,29585,Georgetown,No_Match,,,,,,,
SENIOR MATTERS II,34.018847,-80.985785,3650 Landmark Dr,Columbia,SC,,29204,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71850497,L,45,079,011201,1018
SENIOR OPTIONS HOME CARE AND CONSULTING,32.136921,-80.84371,5 Forest Lake Dr,Daufuskie Island,SC,,29915,Beaufort,Match,Exact,636607209,R,45,013,002101,1015
SENIOR RESOURCES,34.003101,-81.001997,2813 US Hwy 76,Columbia,SC,,29205,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SENIOR SOLUTIONS,33.422458,-80.851675,311 Lovely Ln,Orangeburg,SC,,29115,Orangeburg,Match,Exact,19239663,L,45,075,010602,1034
SENIOR SOLUTIONS - IN HOME CARE,34.549481,-82.670422,3420 Clemson Blvd,Anderson,SC,,29621,Anderson,Tie,,,,,,,
SENIOR SOLUTIONS-OCONEE ADULT DAY CARE,34.683766,-82.944116,101 Perry Ave,Seneca,SC,,29678,Oconee,Match,Exact,25645981,R,45,073,030701,1001
SENIORS HELPERS - ANDERSON,34.560875,-82.693054,4122 Clemson Blvd,Anderson,SC,,29621,Anderson,No_Match,,,,,,,
SERENE HOME CARE,32.216371,-80.722771,200 Main St,Hilton Head Island,SC,,29926,Beaufort,No_Match,,,,,,,
SERENITY DAY PROGRAM,33.929731,-80.3423,448 N Main St,Sumter,SC,,29150,Sumter,Match,Non_Exact,202670793,L,45,085,001500,2003
SERENITY HEALTH CARE SERVICES INC,33.47432,-81.961803,607 Broad St,Augusta,GA,,30901,Richmond,Match,Exact,617768717,R,13,245,011000,2014
SERENITY HEALTHCARE AGENCY LLC,34.94747,-82.09884,10537 Greenville Hwy 10539,Wellford,SC,,29385,Spartanburg County G,Match,Exact,19512000,L,45,083,023401,2021
SERENITY HOMECARE AGENCY LLC,34.175049,-79.812366,811 S Cashua Dr,Florence,SC,,29501,Florence,Match,Non_Exact,28890811,L,45,041,000201,1015
SERENITY KEEPERS HOME CARE LLC,33.946182,-80.352477,280 C S Pike W,Sumter,SC,,29150,Sumter,Match,Exact,202670897,L,45,085,000800,2006
SERENITY MANOR OF HOLLY HILL,33.31756,-80.413837,656 Gardner Blv,Holly Hill,SC,,29059,Orangeburg,Match,Exact,19244899,L,45,075,010200,4035
SERENITY PLACE,34.828641,-82.424487,4 Dunean St,Greenville,SC,,29611,Greenville,Match,Exact,38357559,R,45,045,002107,2000
SEVILLE'S RESIDENTIAL CARE FACILITY,32.869324,-81.100167,149 Bennett Ln,Hampton,SC,,29924,TIGER/Line® dataset from the US Census Bureau,Match,Exact,33109862,L,45,049,920201,2015
SHADES OF LIFE LLC,34.009776,-81.035491,1800 Sumter St,Columbia,SC,,29201,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71820723,R,45,079,003100,2010
SHANDON DAY HEALTH CENTER,34.001509,-80.998618,963 Sims Ave,Columbia,SC,,29205,TIGER/Line® dataset from the US Census Bureau,Match,Exact,604770513,L,45,079,002500,1004
"SHARP, SAMANTHA",34.280103,-81.007622,3909 E Peach Rd,Ridgeway,SC,,29130,Fairfield County G,Match,Non_Exact,40619813,L,45,039,960301,1003
SHAVON'S PURPLE LOTUS BODY ART BOUTIQUE,34.004379,-81.006607,2527 US Hwy 76,Columbia,SC,,29205,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
"SHAW, AARON B.",31.930685,-81.315018,40 Blue Lake St,Richmond Hill,GA,,31324,Bryan County G,Match,Exact,618918107,L,13,029,920303,2016
"SHAW, MICHELE L.",33.681115,-78.987111,134 Manor Cir,Myrtle Beach,SC,,29588,Horry,Match,Exact,29075837,R,45,051,051502,1006
"SHEALY, DANIELLE",34.181785,-81.502398,3421 Mt Pilgrim Church Rd,Prosperity,SC,,29127,Newberry,Match,Exact,45375709,R,45,071,950601,3000
"SHEETS, GERALD W.",33.487438,-81.752954,189 Fox Bluff Ln,Aiken,SC,,29803,Aiken,Match,Exact,65034285,R,45,003,021205,1026
SHELIA'S HELPING HANDS,33.978099,-81.229626,100 Harmon St,Lexington,SC,,29072,Lexington,Match,Exact,70051055,R,45,063,021031,1021
"SHELTON, AMANDA LYNN",34.194807,-80.512194,787 State Rd S-28-572,Camden,SC,,29020,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SHEM CREEK HEALTH CENTER,32.817923,-79.859563,1201 Old Wanus Dr,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Non_Exact,108809252,L,45,019,004622,1005
SHEM CREEK NURSING AND REHAB,32.817923,-79.859563,1201 Old Wanus Dr,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Non_Exact,108809252,L,45,019,004622,1005
SHEPHERD'S CARE CENTER,34.889165,-82.372889,2100 N Pleasantburg Dr,Greenville,SC,,29609,Greenville,No_Match,,,,,,,
SHEPHERDS WAY HOME CARE LLC,34.077116,-81.1809,1500 Brookview Rd,Columbia,SC,,29212,Lexington,Match,Exact,70048935,L,45,063,021110,2009
SHEPPARD'S HELPING HANDS,33.908015,-81.537308,311 W Columbia Ave,Batesburg,SC,,29006,Lexington,Match,Non_Exact,70035301,L,45,063,021402,1062
SHERIFF AL CANNON DETENTION CENTER,32.844859,-80.015237,3820 State Rd S-10-475,North Charleston,SC,,29405,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SHERMAN RESIDENTIAL CARE,34.852095,-82.407964,20 Mayfield St,Greenville,SC,,29601,Greenville,Match,Exact,38299918,R,45,045,000700,1002
SHILOH HOME CARE SERVICES LLC,34.866052,-82.381402,427 Wade Hampton Blvd,Greenville,SC,,29609,City of Greenville,Match,Exact,38357661,L,45,045,001101,4028
"SHILOT, ROBERT E.",32.787668,-79.98186,714 St Andrews Blvd,Charleston,SC,,29407,City of Charleston,No_Match,,,,,,,
"SHOBER, MICHELLE E.",32.984916,-80.113414,NA NA,Ladson,SC,,29456,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SHORELINE BEHAVIORAL HEALTH SERVICES (OTP),33.898561,-79.045806,2404 Wise Rd,Conway,SC,,29526,Horry,Match,Exact,29072034,R,45,051,070701,3010
SHORELINE BEHAVIORAL HEALTH SERVICES (PSAD-INPATIENT),33.838531,-79.059307,901 Bell St,Conway,SC,,29526,Horry,Match,Exact,636589022,L,45,051,070300,2018
SHRINERS HOSPITAL FOR CHILDREN,34.817199,-82.412995,950 W Faris Rd,Greenville,SC,,29605,Greenville,Match,Non_Exact,38343376,R,45,045,002103,2009
"SHUMWAY, MACLAIN",33.731111,-78.950157,3913 Wild Turkey Cir,Myrtle Beach,SC,,29579,Horry,Match,Exact,29058752,L,45,051,060203,1019
SIFLY COMMUNITY RESIDENCE,33.500399,-80.856516,171 Wannamaker St,Orangeburg,SC,,29115,Orangeburg,Match,Non_Exact,71409546,L,45,017,950100,2048
"SIMMONS, TERRI",35.575586,-82.594348,20 Olney Rd,Asheville,NC,,28806,Buncombe,Match,Exact,36843143,L,37,021,001100,2006
SIMPLY LOVE HOME CARE SERVICES,34.808457,-82.286682,128 Millport Cir,Greenville,SC,,29607,Greenville,Match,Exact,633720494,R,45,045,002811,1011
SIMPLY SENIORS,32.809165,-79.845744,1400 Blue Cascade Dr,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,Match,Exact,630175388,R,45,019,004619,2012
SIMPSONVILLE REHABILITATION AND HEALTHCARE CENTER,34.718102,-82.24392,807 SE Main St,Simpsonville,SC,,29681,Greenville,Tie,,,,,,,
"SIMS, STEVEN KYLE",32.003766,-80.971311,104 Trafford Ln,Savannah,GA,,31410,Chatham,Match,Exact,641723308,L,13,051,011112,1000
SINCERELY DIVINE HOME CARE LLC,32.926049,-80.08262,3614 Ashley Phosphate Rd,North Charleston,SC,,29418,Dorchester,Match,Exact,623117815,L,45,035,010818,5018
"SISSKIND, MICHAEL M.",34.97523,-81.026232,2460  101 India Hook Rd,Rock Hill,SC,,29732,York,No_Match,,,,,,,
SITTERS REGISTRY LTD,34.814662,-82.559927,300 Couch Ln,Easley,SC,,29642,Pickens,Match,Exact,26208456,R,45,077,010905,1023
SITTING WITH AN ANGEL,34.045167,-81.132995,449 St Andrews Rd,Columbia,SC,,29210,Lexington,No_Match,,,,,,,
SIX MILE RETIREMENT CENTER,34.803562,-82.817928,119 S Main St A,Six Mile,SC,,29682,Pickens County G,Tie,,,,,,,
SKELETON KEY TATTOO COMPANY,34.985089,-81.97254,7114 Lone Oak Rd,Spartanburg,SC,,29303,Spartanburg County G,Match,Exact,19512452,R,45,083,021805,2014
SKYLYN NURSING AND REHABILITATION CENTER,34.980494,-81.891422,1801 Skylyn Dr,Spartanburg,SC,,29307,Spartanburg County G,Match,Exact,19470793,R,45,083,021301,2008
"SLAUGHENHOUPT, KURT W.",33.741954,-78.902463,200 Threshing Way,Myrtle Beach,SC,,29579,Horry,Match,Exact,630403197,R,45,051,060211,1005
"SMART, SUSAN",35.184855,-81.980283,950 Jolley Rd,Chesnee,SC,,29323,Spartanburg County G,Match,Exact,19454958,R,45,083,022304,3031
SMILES HOME CARE LLP,34.216401,-80.699379,108 State Rd S-28-916,Lugoff,SC,,29078,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
"SMITH, ARTHUR W.",32.655339,-83.454479,6463 Jeffersonville Rd,Dry Branch,GA,,31020,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
"SMITH, THERESA A.",32.125269,-81.487301,3210 Hwy 204,Ellabell,GA,,31308,Bryan County G,Match,Non_Exact,213177374,R,13,029,920101,1073
"SMYTH, ROBERT T.",35.032579,-80.973578,3249 Richards Crsg,Fort Mill,SC,,29708,York,Match,Exact,647237014,L,45,091,061004,1011
SOLID FOUNDATION COUNSELING SERVICES,34.818523,-82.284579,221 Adley Way,Greenville,SC,,29607,Greenville,Match,Exact,640771479,L,45,045,002812,1002
SOLUTIONS FOR LIVING AT HOME,33.982368,-81.063595,945 9th St,Cayce,SC,,29033,Lexington,No_Match,,,,,,,
SOME PRIX PIERCING,33.848266,-80.101777,2843 Black River Rd,Gable,SC,,29051,Clarendon County G,Match,Exact,639229208,R,45,027,960201,1003
SOMERBY OF MOUNT PLEASANT,32.895296,-79.793942,3297 Tradition Cir,Mount Pleasant,SC,,29466,TIGER/Line® dataset from the US Census Bureau,Match,Exact,628036687,R,45,019,004616,1014
SORINITY SUPPORT SERVICES,32.155597,-80.761277,2 Corpus Christi,Hilton Head Island,SC,,29928,Beaufort,Match,Non_Exact,614689760,R,45,013,010300,2015
SOUTH CAROLINA DEPARTMENT OF HEALTH AND ENVIROMENTAL CONTROL,34.022674,-81.03752,2611 State Hwy 277,Columbia,SC,,29202,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SOUTH CAROLINA ENDOSCOPY CENTER,34.004275,-81.121164,131 Summer Place Dr,West Columbia,SC,,29169,Lexington,Match,Exact,653325086,L,45,063,020506,1011
SOUTH CAROLINA ENDOSCOPY CENTER NORTHEAST LLC,34.105468,-80.953721,8809 State Hwy 555,Columbia,SC,,29203,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SOUTH CAROLINA EPISCOPAL HOME AT STILL HOPE,33.985131,-81.061767,6503 Exum Dr,West Columbia,SC,,29169,Lexington,Match,Exact,70083968,L,45,063,020300,2023
SOUTH CAROLINA HOME CARE PROVIDER,34.071864,-80.958955,7349 Parklane Rd,Columbia,SC,,29223,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71823564,L,45,079,010803,1002
SOUTH CAROLINA SEXUALLY VIOLENT PREDATOR TREATMENT PROGRAM,34.067544,-81.109864,1650 Haviland Cir,Columbia,SC,,29210,TIGER/Line® dataset from the US Census Bureau,Match,Exact,646538127,R,45,079,010414,4002
SOUTH CAROLINA VOCATIONAL REHABILITATION EVALUATION CENTER,33.95173,-81.107805,1400 Boston Ave,West Columbia,SC,,29170,Lexington,Match,Exact,652423132,L,45,063,020602,3026
SOUTH ISLAND ASSISTED LIVING,33.327149,-79.299649,2902 S Island Rd,Georgetown,SC,,29440,Georgetown,Tie,,,,,,,
SOUTH ORANGEBURG DIALYSIS,33.502328,-80.86794,1080 Summers Ave,Orangeburg,SC,,29115,Orangeburg,Match,Exact,19227871,R,45,075,011400,2016
SOUTHEASTERN SPINE INSTITUTE AMBULATORY SURGERY CENTER,32.820311,-79.849144,NA I 526,Mount Pleasant,SC,,29464,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
SOUTHERN ARMS HOMECARE LLC,34.884379,-82.358116,44 A Pine Knoll Dr,Greenville,SC,,29609,Greenville,Match,Exact,38357789,R,45,045,001700,4015
SOUTHERN CYPRESS TATTOOS,34.001267,-81.018377,2017 College St Exd,Columbia,SC,,29205,TIGER/Line® dataset from the US Census Bureau,Match,Exact,71869192,L,45,079,003000,2005
SOUTHERN HERITAGE,33.967546,-81.078015,1713 Charleston Hwy,West Columbia,SC,,29169,Lexington,Match,Exact,70055680,L,45,063,020202,1037
SOUTHERN OAKS PERSONAL CARE HOME,34.851473,-82.318819,120 Roper Mountain Rd Ext,Greenville,SC,,29615,City of Greenville,No_Match,,,,,,,
SOUTHERN OAKS REHABILITATION AND HEALTHCARE CENTER,34.702079,-82.474676,109 Bentz Rd,Piedmont,SC,,29673,Anderson,Match,Exact,25462613,R,45,007,010200,2020
SOUTHLAND HEALTH CARE CENTER,34.185034,-79.764388,722 S Dargan St,Florence,SC,,29506,Florence,Tie,,,,,,,
SOUTHPOINTE HEALTHCARE AND REHABILITATION,34.815004,-82.264502,35 Southpointe Dr,Greenville,SC,,29607,Greenville,Match,Exact,637565481,L,45,045,002812,2002
SOUTHWEST CAROLINA TREATMENT CENTER,34.547414,-82.676389,341 W Beltline Blvd,Anderson,SC,,29625,Anderson,Match,Non_Exact,632963962,L,45,007,001000,1012
SPARTANBURG HOSPITAL FOR RESTORATIVE CARE,34.966012,-81.936906,387 Serpentine Dr,Spartanburg,SC,,29303,City of Spartanburg,Match,Exact,640602422,R,45,083,020301,2012
SPARTANBURG HOSPITAL FOR RESTORATIVE CARE SNF,34.966012,-81.936906,387 Serpentine Dr,Spartanburg,SC,,29303,City of Spartanburg,Match,Exact,640602422,R,45,083,020301,2012
SPARTANBURG MEDICAL CENTER,34.966367,-81.939522,101 E Wood St,Spartanburg,SC,,29303,City of Spartanburg,Tie,,,,,,,
SPARTANBURG MEDICAL CENTER - MARY BLACK CAMPUS,34.97862,-81.897953,1692 Skylyn Dr,Spartanburg,SC,,29307,Spartanburg County G,Match,Exact,19504790,L,45,083,021403,3010
SPARTANBURG MEDICAL CENTER HOME HEALTH,34.958666,-81.912382,120 Heywood Ave,Spartanburg,SC,,29302,City of Spartanburg,Match,Exact,19470979,L,45,083,021200,1000
SPARTANBURG REGIONAL HOSPICE HOME,34.980877,-81.960755,686 Jeff Davis Dr,Spartanburg,SC,,29303,Spartanburg County G,Match,Exact,19466495,L,45,083,021600,2008
SPARTANBURG REGIONAL MEDICAL CENTER HOSPICE,34.983734,-81.832828,585 Old Clifton Village Rd,Spartanburg,SC,,29307,Spartanburg County G,No_Match,,,,,,,
SPARTANBURG REHABILITATION INSTITUTE,34.989622,-81.942503,160 Harold Fleming Ct,Spartanburg,SC,,29303,Spartanburg County G,No_Match,,,,,,,
SPARTANBURG SURGERY CENTER,34.966609,-81.93544,391 Serpentine Dr,Spartanburg,SC,,29303,City of Spartanburg,Match,Exact,640602422,R,45,083,020301,2013
"SPEARS, JUSTEAN S.",34.896509,-82.331731,224 Elaine Ave,Taylors,SC,,29687,Greenville,Match,Exact,38302606,R,45,045,001803,3009
SPIRITUAL HANDS HOME CARE,34.77718,-82.389257,716 E Fairfield Rd,Greenville,SC,,29605,Greenville,Match,Exact,38305649,R,45,045,002001,1026
SPLENDID CARE LLP,34.768766,-82.300873,1 W Golden Strip Dr,Mauldin,SC,,29662,Greenville,Match,Non_Exact,38318076,R,45,045,002905,1019
SPRENGER HEALTHCARE AT PORT ROYAL ASSISTED LIVING,32.383167,-80.688609,1804 Richmond Ave,Port Royal,SC,,29935,Beaufort,Match,Exact,636607355,R,45,013,000800,2032
SPRENGER HEALTHCARE OF BLUFFTON,32.314777,-80.911442,8 Okatie Rd,Okatie,SC,,29909,Beaufort,Match,Exact,612415740,L,45,013,002201,1003
SPRENGER HEALTHCARE OF BLUFFTON ASSISTED LIVING,32.314777,-80.911442,8 Okatie Rd,Okatie,SC,,29909,Beaufort,Match,Exact,612415740,L,45,013,002201,1003
SPRENGER HEALTHCARE OF PORT ROYAL,32.383167,-80.688609,1804 Richmond Ave,Port Royal,SC,,29935,Beaufort,Match,Exact,636607355,R,45,013,000800,2032
SPRING PARK ASSISTED LIVING,34.976977,-82.458774,925 N Main St,Travelers Rest,SC,,29690,Greenville,Match,Exact,38347447,R,45,045,003905,1027
SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,34.961444,-82.457254,204 Hawk Valley Dr,Travelers Rest,SC,,29690,Greenville,No_Match,,,,,,,
SPRINGBROOK BEHAVIORAL HEALTH SYSTEM RTF,34.964159,-82.455138,1 Havenwood Ln,Travelers Rest,SC,,29690,Greenville,Match,Exact,38376713,L,45,045,003905,2018
SPRINGDALE HEALTHCARE CENTER,34.251545,-80.634842,148 State Rd S-28-194,Camden,SC,,29020,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
"SPRINGER, ANGELA J.",33.848178,-79.055986,1504 Laurel St,Conway,SC,,29526,Horry,Match,Exact,29040665,R,45,051,070200,2033
SPRINGFIELD PLACE RESIDENTIAL CARE,34.285629,-81.601403,2000 Springfield Cir,Newberry,SC,,29108,Newberry,Match,Exact,45381244,L,45,071,950204,1058
SPRINGHILL ASSISTED LIVING,34.767687,-80.381177,615 Gum,Pageland,SC,,29728,Chesterfield,Match,Non_Exact,14321147,R,45,025,950102,1020
SPRINGS AT SIMPSONVILLE,34.737373,-82.252241,214 E Curtis St,Simpsonville,SC,,29681,Greenville,Tie,,,,,,,
ST FRANCIS HOSPITAL HOME CARE,34.847242,-82.325236,601 Congaree Rd,Greenville,SC,,29607,City of Greenville,Match,Exact,639244936,L,45,045,001808,2013
ST FRANCIS-DOWNTOWN,34.840626,-82.422682,316 McDavid Way,Greenville,SC,,29601,Greenville,No_Match,,,,,,,
ST FRANCIS-EASTSIDE,34.851088,-82.322652,131 Commonwealth Dr,Greenville,SC,,29615,Greenville,Match,Exact,38346304,R,45,045,001808,2000
ST GABRIEL OF MURRELLS INLET,33.58173,-79.048132,699 Prince Creek Pkwy,Murrells Inlet,SC,,29576,Horry,Match,Exact,630991490,R,45,051,051608,1018
ST GEORGE HEALTHCARE CENTER,33.180087,-80.586405,905 Dukes St,Saint George,SC,,29477,Dorchester,Match,Exact,178452469,L,45,035,010200,4050
ST JOSEPH HOSPICE,33.512301,-81.980297,181 Hammond Place Cir,North Augusta,SC,,29841,Aiken County G,Match,Exact,65001308,L,45,003,020801,2006
ST PHILLIPS BAPTIST CHURCH DBA CARING HEARTS,34.719746,-81.067627,2603 Short Cut Dr,Richburg,SC,,29729,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
"STABILE, KENNETH M.",32.844255,-80.050382,2323 Tall Sail Dr,Charleston,SC,,29414,City of Charleston,Match,Exact,605828390,L,45,019,002611,1003
STARDUST TATTOO,32.874259,-79.978633,1082 State Rd S-10-672,North Charleston,SC,,29405,TIGER/Line® dataset from the US Census Bureau,No_Match,,,,,,,
STARLIGHT HEALTHCARE SERVICES INC,34.962159,-81.001001,954 Mt Gallant Rd,Rock Hill,SC,,29730,York,No_Match,,,,,,,
STARTIN POINT TATTOO PARLOR,34.903709,-82.098264,1664 E Main St,Duncan,SC,,29334,Spartanburg County G,Match,Non_Exact,19482887,L,45,083,023406,3002
STARTING POINT OF DARLINGTON,34.35764,-80.063922,1150 4th St,Hartsville,SC,,29550,Darlington,Match,Non_Exact,78415064,L,45,031,010800,2024
STARTING POINT OF FLORENCE PC,34.219468,-79.797091,1341 N Cashua Dr,Florence,SC,,29501,Florence,Match,Non_Exact,641995857,L,45,041,000201,1013
STAY AT HOME SENIOR CARE OF THE UPSTATE,34.954167,-82.244322,710 Tryon St,Greer,SC,,29651,Greenville,Match,Exact,38308377,L,45,045,002506,1007
"STEELE, APRIL RENEA",34.204411,-79.844034,405 Somerset Pl,Florence,SC,,29501,Florence,Match,Exact,28884392,L,45,041,000101,1006
"STEPHENS, CURTIS LYNN, JR.",33.616667,-78.966048,316 13th Ave N,Surfside Beach,SC,,29575,Horry,Match,Exact,636586468,R,45,051,051201,1024
