Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
Greenville Co. Redevelopment Authority,Cleanup,,111384,Poe Mill,Buncombe Road and A Street,Greenville,SC,29609,11.02,Government,Greenville County Redevelopment Authority,"Poe Mill operated as a textile mill from 1898 to 1977.  During its operation, the mill grew to include at least three weaving rooms as well as an engine room, machine shop, cotton warehouses, coal boiler towers, and a water supply rservoir.  There is no evidence that dying and finishing operations were conducted at the plant.  The mill was powered by steam fueled by coal.  &#10&#10The property is currently vacant and has been unoccupied since 1977. The mill buildings burned in 2003 followed by demolit",EPA,Other Federal Funding,5000,Phase I Environmental Assessment,8/10/09,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,,,12/15/14,,,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,400000,,,Yes,,,,,,,,,,,,,,,,,,
"Spartanburg, City of",Assessment,,115383,Cannon Roofing Property,327 Kennedy Street,Spartanburg,SC,29302,3.2,Private,"Cannon Roofing, LLC","A portion of the property is occupied by a roofing company, while another portion is leased to a landscape design company.  Equipment and supplies used in the manufacture of roofs are stored on the property, including drums and kettles of tar and roof membranes. Out of service railroad spurs are still present on the property. Historical uses of the property have included a radiator shop, an iron works fabricator and a junk yard.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5500,Phase I Environmental Assessment,8/9/10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spartanburg, City of",Assessment,,115384,Wakefield Buick Pontiac GMC,Wofford at W. St. John Streets,Spartanburg,SC,29301,8,Private,Wakefield Buick Pontiac GMC,The property is comprised of five parcels. One or more parcels have been previously occupied by Spartanburg Fertilizer Works 1898-1923 Spartanburg Roller Mill/Palmetto Roller Mill 1898-1912 metal works and salvage yard 1951-1968P&N Railway 1914-1968 Spartanburg Chemical & Distribution Co. 1963-1980 automotive repair and residential.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,48613,Phase II Environmental Assessment,5/26/11,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Spartanburg, City of",25000,Local Funding,1/1/11,
"Spartanburg, City of",Assessment,,115384,Wakefield Buick Pontiac GMC,Wofford at W. St. John Streets,Spartanburg,SC,29301,8,Private,Wakefield Buick Pontiac GMC,The property is comprised of five parcels. One or more parcels have been previously occupied by Spartanburg Fertilizer Works 1898-1923 Spartanburg Roller Mill/Palmetto Roller Mill 1898-1912 metal works and salvage yard 1951-1968P&N Railway 1914-1968 Spartanburg Chemical & Distribution Co. 1963-1980 automotive repair and residential.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,5500,Phase I Environmental Assessment,7/9/10,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Spartanburg, City of",25000,Local Funding,1/1/11,
"Spartanburg, City of",Assessment,,115384,Wakefield Buick Pontiac GMC,Wofford at W. St. John Streets,Spartanburg,SC,29301,8,Private,Wakefield Buick Pontiac GMC,The property is comprised of five parcels. One or more parcels have been previously occupied by Spartanburg Fertilizer Works 1898-1923 Spartanburg Roller Mill/Palmetto Roller Mill 1898-1912 metal works and salvage yard 1951-1968P&N Railway 1914-1968 Spartanburg Chemical & Distribution Co. 1963-1980 automotive repair and residential.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,48613,Phase II Environmental Assessment,5/26/11,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Spartanburg, City of",30000,Local Funding,1/1/09,
"Spartanburg, City of",Assessment,,115384,Wakefield Buick Pontiac GMC,Wofford at W. St. John Streets,Spartanburg,SC,29301,8,Private,Wakefield Buick Pontiac GMC,The property is comprised of five parcels. One or more parcels have been previously occupied by Spartanburg Fertilizer Works 1898-1923 Spartanburg Roller Mill/Palmetto Roller Mill 1898-1912 metal works and salvage yard 1951-1968P&N Railway 1914-1968 Spartanburg Chemical & Distribution Co. 1963-1980 automotive repair and residential.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,5500,Phase I Environmental Assessment,7/9/10,Unknown,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Spartanburg, City of",30000,Local Funding,1/1/09,
R4 TBA - South Carolina (STAG Funded),TBA,,145721,Proposed Blenheim School Site,SC Highway 38 & West High Street,Blenheim,SC,29516,12,Private,Catherine Rogers,"The property  has been used for agricultural purposes for at least 100 years. Chlorinated pesticides, methyl parathion, and arsenic-based pesticides have been applied on site.",EPA,US EPA - TBA Funding,118000,Phase II Environmental Assessment,5/25/11,Yes,Yes,,,,Yes,,Yes,,Yes,Pesticides,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,145721,Proposed Blenheim School Site,SC Highway 38 & West High Street,Blenheim,SC,29516,12,Private,Catherine Rogers,"The property  has been used for agricultural purposes for at least 100 years. Chlorinated pesticides, methyl parathion, and arsenic-based pesticides have been applied on site.",Marlboro Schools,Local Funding,5000,Phase I Environmental Assessment,11/11/08,Yes,Yes,,,,Yes,,Yes,,Yes,Pesticides,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,130865,Former Raco Station,619 Gervais Street and 1209 Wayne Street,Columbia,SC,29201,0.33,,Webster/Belser Family Limited Partnership,"During the site reconnaissance, an air compressor, hydraulic lifts, a heating system, a used oil AST, several drums of cleaners and grease, a battery storage area, and a dumpster were observed at the Capital City Cycles portion of the site. Stained soils were observed in the vicinity of the used oil AST and constitute a REC to the site. UST vent pipes, a remnant of the former UST system removed from the site in early 2009, were observed at the former Raco gas station. The former UST system has a",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1000,Supplemental Assessment,4/22/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,130865,Former Raco Station,619 Gervais Street and 1209 Wayne Street,Columbia,SC,29201,0.33,,Webster/Belser Family Limited Partnership,"During the site reconnaissance, an air compressor, hydraulic lifts, a heating system, a used oil AST, several drums of cleaners and grease, a battery storage area, and a dumpster were observed at the Capital City Cycles portion of the site. Stained soils were observed in the vicinity of the used oil AST and constitute a REC to the site. UST vent pipes, a remnant of the former UST system removed from the site in early 2009, were observed at the former Raco gas station. The former UST system has a",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2375,Phase I Environmental Assessment,4/22/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dillon, City of",Assessment,,131101,Rownd Property,800 Martin Luther King Jr. Boulevard,Dillon,SC,29536,9.5,Private,,"The former Rownd & Sons, Inc. manufacturing facility is located on the western portion of the&#10subject property and is currently vacant. Although the facility is no longer in operation, much of the&#10machinery and equipment formerly used in the basket manufacturing process remains on-site. The&#10structures associated with the facility are in a considerable state of disrepair and are currently used&#10for the storage of various items collected by the property owner.&#10The former Rownd & Sons, Inc. facility",EPA,US EPA - Brownfields Assessment Cooperative Agreement,65800,Phase II Environmental Assessment,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Environmental Company LLC,Cleanup,,131161,Gregg Plant Tract,Marshall Street,Graniteville,SC,29829,35.88,Private,"Community Environmental Company, LLC","The subject property is bounded to the north by Ascauga Lake Road with undeveloped wooded land and an office building located to the north of Ascauga Lake Road. The subject property is bounded to the south by Marshall Street with a parking lot formerly associated with the Gregg Plant, cleared undeveloped land, and residential properties primarily to the southwest located to the south of Marshall Street.",,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,7/29/13,,,CEC,Cost Share,43571,Yes,,Yes,,,,,,,,,,,,,,CEC/Target,80000,Private/Other Funding,9/1/13,11/30/13
Community Environmental Company LLC,Cleanup,,131161,Gregg Plant Tract,Marshall Street,Graniteville,SC,29829,35.88,Private,"Community Environmental Company, LLC","The subject property is bounded to the north by Ascauga Lake Road with undeveloped wooded land and an office building located to the north of Ascauga Lake Road. The subject property is bounded to the south by Marshall Street with a parking lot formerly associated with the Gregg Plant, cleared undeveloped land, and residential properties primarily to the southwest located to the south of Marshall Street.",,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,7/29/13,,,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,Yes,,Yes,,,,,,,,,,,,,,CEC/Target,80000,Private/Other Funding,9/1/13,11/30/13
Housing Authority of the City of Aiken,Assessment,,131161,Gregg Plant Tract,Marshall Street,Graniteville,SC,29829,35.88,Private,"Community Environmental Company, LLC","The subject property is bounded to the north by Ascauga Lake Road with undeveloped wooded land and an office building located to the north of Ascauga Lake Road. The subject property is bounded to the south by Marshall Street with a parking lot formerly associated with the Gregg Plant, cleared undeveloped land, and residential properties primarily to the southwest located to the south of Marshall Street.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,100000,Phase II Environmental Assessment,10/15/10,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,
Housing Authority of the City of Aiken,Assessment,,131161,Gregg Plant Tract,Marshall Street,Graniteville,SC,29829,35.88,Private,"Community Environmental Company, LLC","The subject property is bounded to the north by Ascauga Lake Road with undeveloped wooded land and an office building located to the north of Ascauga Lake Road. The subject property is bounded to the south by Marshall Street with a parking lot formerly associated with the Gregg Plant, cleared undeveloped land, and residential properties primarily to the southwest located to the south of Marshall Street.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2000,Supplemental Assessment,10/15/10,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,116341,2510 North Main Street,2510 North Main Street,Columbia,SC,29201,0.6,,"Mr. Dunlap with Dial, Dunlap & Edwards","The site contains a one story building approximately 7,000 square-foot commercial office/warehouse building. The building is a concrete and wood structure with a flat, tar and gravel roof, on a concrete slab foundation. The site has been occupied by the current structure since approximatly 1930. Several adjacent and surrounding properties have housed service stations or dry cleaners throughout the years. The past uses identified include a gas station at 2548 North Main Street a gas station at 24",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1145,Supplemental Assessment,7/6/10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,116341,2510 North Main Street,2510 North Main Street,Columbia,SC,29201,0.6,,"Mr. Dunlap with Dial, Dunlap & Edwards","The site contains a one story building approximately 7,000 square-foot commercial office/warehouse building. The building is a concrete and wood structure with a flat, tar and gravel roof, on a concrete slab foundation. The site has been occupied by the current structure since approximatly 1930. Several adjacent and surrounding properties have housed service stations or dry cleaners throughout the years. The past uses identified include a gas station at 2548 North Main Street a gas station at 24",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2050,Phase I Environmental Assessment,7/6/10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,148201,209_217 Laurens Rd,209 & 217 Laurens Road,Greenville,SC,29607,0.68,Private,Lullwater Syndicate Company,Surrounding properties to the east and west along Laurens Road generally consist of commercial and or retail facilities.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3200,Phase I Environmental Assessment,5/29/12,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,148522,128 Biltmore Drive Property,128 Biltmore Drive,Greenville,SC,29601,3.23,Private,"Biltmore Group, LLC",,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,5/30/12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,146581,320 South Hudson Street,320 South Hudson Street,Greenville,SC,29601,1.29,Private,Mr. Robert Brooks,"The summary of the historical review includes a Commercial warehouse building, Railroad tracks, Reedy River and commercial buildings, and Electrical substation and a stream.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,8000,Phase I Environmental Assessment,12/9/11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Greenville,225000,Local Funding,1/1/13,12/31/13
"Greenville, South Carolina, City of",Assessment,,146601,Washington and Hudson Street Properties,"601, 603, 625 Washington Street & 6, 12, 14, 16 South Hudson Street",Greenville,SC,29601,1.95,Private,City of Greenville,The Property is currently cleared land and an asphalt-paved parking lot.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,5700,Phase I Environmental Assessment,5/2/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,146621,Fairforest Way Properties,475 Fairforest Way,Greenville,SC,29673,99.74,Private,Carter Fairforest LLC,"At the time of the March 15, 2012 site reconnaissance, the subject site consisted of graded land in the&#10northwestern portion of the site and woodlands in the central and southern portions of the site.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3200,Phase I Environmental Assessment,3/26/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,146622,Mayberry Street Properties,70 Mayberry Street,"Greenville,",SC,29601,27.67,Private,City of Greenville,"The property consists of maintenance buildings, storage buildings, supply buildings, offices, sheds, warehouses, parking areas, and a baseball field. Remaining portions of the property are landscaped grassy areas.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,8000,Phase I Environmental Assessment,5/10/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Authority of the City of Aiken,Assessment,,131341,Granite Plant Tract,Marshall Street,Graniteville,SC,29829,5,Private,Mr. Felker,"The Granite Plant Tract is located on Parcel 068-18-02-001 and occupies approximately five acres.  The former Avondale Mills carpenter shop and maintenance shops are located to the north of the Granite Plant Tract.  The Granite Plant Tract is bounded to the south by Marshall Street with the former Avondale Mills Hickman Plant and Hall beyond Marshall Street to the south.  The Granite Maintenance/Research Tract, also referred to as the Old Gregg Plant, is located to the east of the Granite Plant",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Supplemental Assessment,1/5/11,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Authority of the City of Aiken,Assessment,,131341,Granite Plant Tract,Marshall Street,Graniteville,SC,29829,5,Private,Mr. Felker,"The Granite Plant Tract is located on Parcel 068-18-02-001 and occupies approximately five acres.  The former Avondale Mills carpenter shop and maintenance shops are located to the north of the Granite Plant Tract.  The Granite Plant Tract is bounded to the south by Marshall Street with the former Avondale Mills Hickman Plant and Hall beyond Marshall Street to the south.  The Granite Maintenance/Research Tract, also referred to as the Old Gregg Plant, is located to the east of the Granite Plant",EPA,US EPA - Brownfields Assessment Cooperative Agreement,100000,Phase II Environmental Assessment,1/5/11,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,158121,Post & Courier Property,Columbus & Meeting Streets,Charleston,SC,29403,2.81,Private,The Evening Post Publishing Company,"The site consists of 4 parcels along Meeting, Columbus, and Line Streets. At the time of assessment, the parcels were vacant and undeveloped. The site's past development includes the Arctic Ice & Coal Co., Packet Motor Lines/Watkins Motor Lines, and residential.  The motor line development included underground storage tanks, an oil/water separator, truck washing area, and truck repair facilities.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3356,Phase I Environmental Assessment,10/31/12,No,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,158121,Post & Courier Property,Columbus & Meeting Streets,Charleston,SC,29403,2.81,Private,The Evening Post Publishing Company,"The site consists of 4 parcels along Meeting, Columbus, and Line Streets. At the time of assessment, the parcels were vacant and undeveloped. The site's past development includes the Arctic Ice & Coal Co., Packet Motor Lines/Watkins Motor Lines, and residential.  The motor line development included underground storage tanks, an oil/water separator, truck washing area, and truck repair facilities.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,25583,Phase II Environmental Assessment,6/28/13,No,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg County,Assessment,,158141,Former Milliken Plant,119 Milliken Road,Kingstree,SC,29556,46.28,Private,Williamsburg County Development,"The subject property was originally developed for use as a textile mill in approximately 1952. Prior to development, the subject property consisted of cleared land used for agricultural purposes and/or undeveloped, wooded land. The textile mill operated until approximately 2007 when manufacturing processes ceased. The site was then purchased by the current property owner, Williamsburg County Development Corporation, in January 2010. In 2011, after the Williamsburg County Development Corporation",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,11/16/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartsville, City of",Assessment,,131681,Former Butler High School,1103 South 6th Street,Hartsville,SC,29551,6.6,Private,City of Hartsville and the Hartsville Area Schools,"The building in the eastern parcel owned by the School District include the Classroom Building, Caferteria Building, Teachers Lounge, and Art room. The former school library was located within the western wing of the Cafeteria Building, but burned down in the late 1980's. These buildings are currently not being occupied and are used for storage of old teaching supplies, furniture, and equipment as well as miscellaneaous debris. These buildings were observed to be in fair condition and generally",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,5/11/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,113901,Shipwatch Square,3655 and 3685 Rivers Avenue,North Charleston,SC,29405,17.97,Government,City of North Charleston,"The property previously contained a sanatorium between 1925 and 1952.  The site was later redeveloped as the Pinehaven Shopping Center in 1959.  The property currently contains four multi-tenant commercial buildings. A previous tenant was a dry cleaning facility, which operated between 1961 and 1998.  A 1999 soil sample indicated the presence of perchloroethylene beneath the slab foundation of the dry cleaner.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3822,Cleanup Planning,6/15/12,Yes,,,Yes,,,,,,Yes,tetrachloroethylene,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,113901,Shipwatch Square,3655 and 3685 Rivers Avenue,North Charleston,SC,29405,17.97,Government,City of North Charleston,"The property previously contained a sanatorium between 1925 and 1952.  The site was later redeveloped as the Pinehaven Shopping Center in 1959.  The property currently contains four multi-tenant commercial buildings. A previous tenant was a dry cleaning facility, which operated between 1961 and 1998.  A 1999 soil sample indicated the presence of perchloroethylene beneath the slab foundation of the dry cleaner.",,US EPA - Brownfields Assessment Cooperative Agreement,4675,Phase I Environmental Assessment,5/14/10,Yes,,,Yes,,,,,,Yes,tetrachloroethylene,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,113901,Shipwatch Square,3655 and 3685 Rivers Avenue,North Charleston,SC,29405,17.97,Government,City of North Charleston,"The property previously contained a sanatorium between 1925 and 1952.  The site was later redeveloped as the Pinehaven Shopping Center in 1959.  The property currently contains four multi-tenant commercial buildings. A previous tenant was a dry cleaning facility, which operated between 1961 and 1998.  A 1999 soil sample indicated the presence of perchloroethylene beneath the slab foundation of the dry cleaner.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,64293,Phase II Environmental Assessment,1/31/11,Yes,,,Yes,,,,,,Yes,tetrachloroethylene,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,113901,Shipwatch Square,3655 and 3685 Rivers Avenue,North Charleston,SC,29405,17.97,Government,City of North Charleston,"The property previously contained a sanatorium between 1925 and 1952.  The site was later redeveloped as the Pinehaven Shopping Center in 1959.  The property currently contains four multi-tenant commercial buildings. A previous tenant was a dry cleaning facility, which operated between 1961 and 1998.  A 1999 soil sample indicated the presence of perchloroethylene beneath the slab foundation of the dry cleaner.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,29772,Supplemental Assessment,6/26/12,Yes,,,Yes,,,,,,Yes,tetrachloroethylene,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,158444,Pressley Property,2413 Meeting Street Road,North Charleston,SC,29405,1.19,Private,Calvary AME Church,"The site previously operated as a gas station and automobile repair facility.  Additionally, a large amount of unknown fill material was placed on the southern half of the property.  Lastly, the site was used as a scrap yard, with large amounts of scrap metal and metal debris on a large portion of the site.  Currently, these materials have been cleared and a majority of the site is undeveloped.  The northern portion of the site contains the remnants of a building foundation.",Charleston County (Greenbelt Bank),Local Funding,6615,Phase II Environmental Assessment,2/27/09,Unknown,Yes,,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,158444,Pressley Property,2413 Meeting Street Road,North Charleston,SC,29405,1.19,Private,Calvary AME Church,"The site previously operated as a gas station and automobile repair facility.  Additionally, a large amount of unknown fill material was placed on the southern half of the property.  Lastly, the site was used as a scrap yard, with large amounts of scrap metal and metal debris on a large portion of the site.  Currently, these materials have been cleared and a majority of the site is undeveloped.  The northern portion of the site contains the remnants of a building foundation.",Charleston County (Greenbelt Bank),Local Funding,3150,Phase I Environmental Assessment,12/11/08,Unknown,Yes,,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,117701,Multi-Tenant Retail Building,912 Gervais Street,Columbia,SC,29201,0.65,Private,,The subject parcel consist of one parcel of commercially developed land identfied by Richland County. Tax records indicate that the building is zoned for light industrial use and has an additional address of 911 Senate Street. The property has a single-story commercial structure that is used for storage and repair.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3534,Phase I Environmental Assessment,7/13/10,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenville,Assessment,,132024,806 Green Avenue Property,806 Green Avenue,Greenville,SC,29604,2.97,Private,RM Holding LLC,"Property consists of one vacant 2-story apartment building.  Historically the property has been out of use since 2005.  Between 1985 and 2005 it was used as an apartment building.  From 1960 to 1080 the property was rented as a warehouse facility.  Between 1933 and 1964, the property was used as the Greenville Bonded Warehouse Company and E.W. Montgomery Company cotton sample facility.  Prior to 1933, the property was used as the Peerless Folding Ladder Company and appears to have been undevelop",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1537,Phase I Environmental Assessment,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenville,Assessment,,132024,806 Green Avenue Property,806 Green Avenue,Greenville,SC,29604,2.97,Private,RM Holding LLC,"Property consists of one vacant 2-story apartment building.  Historically the property has been out of use since 2005.  Between 1985 and 2005 it was used as an apartment building.  From 1960 to 1080 the property was rented as a warehouse facility.  Between 1933 and 1964, the property was used as the Greenville Bonded Warehouse Company and E.W. Montgomery Company cotton sample facility.  Prior to 1933, the property was used as the Peerless Folding Ladder Company and appears to have been undevelop",EPA,US EPA - Brownfields Assessment Cooperative Agreement,12000,Phase II Environmental Assessment,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,132024,806 Green Avenue Property,806 Green Avenue,Greenville,SC,29604,2.97,Private,RM Holding LLC,"Property consists of one vacant 2-story apartment building.  Historically the property has been out of use since 2005.  Between 1985 and 2005 it was used as an apartment building.  From 1960 to 1080 the property was rented as a warehouse facility.  Between 1933 and 1964, the property was used as the Greenville Bonded Warehouse Company and E.W. Montgomery Company cotton sample facility.  Prior to 1933, the property was used as the Peerless Folding Ladder Company and appears to have been undevelop",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1440,Phase I Environmental Assessment,10/12/16,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,132024,806 Green Avenue Property,806 Green Avenue,Greenville,SC,29604,2.97,Private,RM Holding LLC,"Property consists of one vacant 2-story apartment building.  Historically the property has been out of use since 2005.  Between 1985 and 2005 it was used as an apartment building.  From 1960 to 1080 the property was rented as a warehouse facility.  Between 1933 and 1964, the property was used as the Greenville Bonded Warehouse Company and E.W. Montgomery Company cotton sample facility.  Prior to 1933, the property was used as the Peerless Folding Ladder Company and appears to have been undevelop",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,5/19/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,114181,1527 Charleston Highway Property,1527 Charleston Highway,West Columbia,SC,29033,4.39,Private,"Mary Stanley Edwards, William Wells, Mari Edwards Wells",The subject property has two small vinyl sided and asphalt shingled structures that are used as office space for the used car business and are located on the southwestern portion of the property. An asphalt parking lot that is remnant of the former Hess Gas station is located on the northwestern portion of the property. Charleston Highway and public sidewalk are located adjacent to the western side of the subject property residence. The available historical information indicates that the subject,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2760,Phase I Environmental Assessment,5/28/10,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,114221,Former Fox Theater,1607 Main Street,Columbia,SC,29201,0.26,Private,Columbia Film Society,"The subject property building consist of a two story brick and concrete building struture that was formely used as a movie theater.  A movie screen and seating remain in the upper level. A movie screen is also located on the lower level however no theater seatings is present. The front portion of the lower level was formerly the Solid Gold store however, the entire building is currently vacant. Main Street and a public sidewalk are located adjacent to the front east side of the property. An alle",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2750,Phase I Environmental Assessment,6/3/10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000,Private/Other Funding,6/3/10,
